source_concept_id,source_concept_name,concept_code,cohort_name,points
42616586,"Seropositive rheumatoid arthritis, unspecified, site unspecified",M05.99,rheumatologic_disease,1
42616587,"Seronegative rheumatoid arthritis, multiple sites",M06.00,rheumatologic_disease,1
42616588,"Seronegative rheumatoid arthritis, shoulder region",M06.01,rheumatologic_disease,1
42616589,"Seronegative rheumatoid arthritis, upper arm",M06.02,rheumatologic_disease,1
42616590,"Seronegative rheumatoid arthritis, hand",M06.04,rheumatologic_disease,1
42616591,"Seronegative rheumatoid arthritis, pelvic region and thigh",M06.05,rheumatologic_disease,1
42616592,"Seronegative rheumatoid arthritis, lower leg",M06.06,rheumatologic_disease,1
42616593,"Seronegative rheumatoid arthritis, ankle and foot",M06.07,rheumatologic_disease,1
42616594,"Seronegative rheumatoid arthritis, other",M06.08,rheumatologic_disease,1
42616595,"Seronegative rheumatoid arthritis, site unspecified",M06.09,rheumatologic_disease,1
42616596,"Adult-onset Still disease, multiple sites",M06.10,rheumatologic_disease,1
42616597,"Adult-onset Still disease, shoulder region",M06.11,rheumatologic_disease,1
42616598,"Adult-onset Still disease, upper arm",M06.12,rheumatologic_disease,1
42616599,"Adult-onset Still disease, forearm",M06.13,rheumatologic_disease,1
42616600,"Adult-onset Still disease, hand",M06.14,rheumatologic_disease,1
42616601,"Adult-onset Still disease, pelvic region and thigh",M06.15,rheumatologic_disease,1
42616602,"Adult-onset Still disease, lower leg",M06.16,rheumatologic_disease,1
42616603,"Adult-onset Still disease, ankle and foot",M06.17,rheumatologic_disease,1
42616604,"Adult-onset Still disease, other",M06.18,rheumatologic_disease,1
42616605,"Adult-onset Still disease, site unspecified",M06.19,rheumatologic_disease,1
42616606,"Rheumatoid bursitis, multiple sites",M06.20,rheumatologic_disease,1
42616607,"Rheumatoid bursitis, shoulder region",M06.21,rheumatologic_disease,1
42616608,"Rheumatoid bursitis, upper arm",M06.22,rheumatologic_disease,1
42616609,"Rheumatoid bursitis, forearm",M06.23,rheumatologic_disease,1
42616610,"Rheumatoid bursitis, hand",M06.24,rheumatologic_disease,1
42616611,"Rheumatoid bursitis, pelvic region and thigh",M06.25,rheumatologic_disease,1
42616612,"Rheumatoid bursitis, lower leg",M06.26,rheumatologic_disease,1
42616613,"Rheumatoid bursitis, ankle and foot",M06.27,rheumatologic_disease,1
42616614,"Rheumatoid bursitis, other",M06.28,rheumatologic_disease,1
42616615,"Rheumatoid bursitis, site unspecified",M06.29,rheumatologic_disease,1
42616616,"Rheumatoid nodule, multiple sites",M06.30,rheumatologic_disease,1
42616617,"Rheumatoid nodule, shoulder region",M06.31,rheumatologic_disease,1
42616618,"Rheumatoid nodule, forearm",M06.33,rheumatologic_disease,1
42616619,"Rheumatoid nodule, hand",M06.34,rheumatologic_disease,1
42616620,"Rheumatoid nodule, pelvic region and thigh",M06.35,rheumatologic_disease,1
42616621,"Rheumatoid nodule, lower leg",M06.36,rheumatologic_disease,1
42616622,"Rheumatoid nodule, ankle and foot",M06.37,rheumatologic_disease,1
42616623,"Rheumatoid nodule, other",M06.38,rheumatologic_disease,1
42616624,"Rheumatoid nodule, site unspecified",M06.39,rheumatologic_disease,1
42616625,"Inflammatory polyarthropathy, multiple sites",M06.40,rheumatologic_disease,1
42616626,"Inflammatory polyarthropathy, shoulder region",M06.41,rheumatologic_disease,1
42616627,"Inflammatory polyarthropathy, upper arm",M06.42,rheumatologic_disease,1
42616628,"Inflammatory polyarthropathy, forearm",M06.43,rheumatologic_disease,1
42616629,"Inflammatory polyarthropathy, hand",M06.44,rheumatologic_disease,1
42616630,"Inflammatory polyarthropathy, pelvic region and thigh",M06.45,rheumatologic_disease,1
42616631,"Inflammatory polyarthropathy, lower leg",M06.46,rheumatologic_disease,1
42616632,"Inflammatory polyarthropathy, ankle and foot",M06.47,rheumatologic_disease,1
42616633,"Inflammatory polyarthropathy, site unspecified",M06.49,rheumatologic_disease,1
42616634,"Other specified rheumatoid arthritis, multiple sites",M06.80,rheumatologic_disease,1
42616635,"Other specified rheumatoid arthritis, shoulder region",M06.81,rheumatologic_disease,1
42616636,"Other specified rheumatoid arthritis, upper arm",M06.82,rheumatologic_disease,1
42616637,"Other specified rheumatoid arthritis, forearm",M06.83,rheumatologic_disease,1
42616638,"Other specified rheumatoid arthritis, hand",M06.84,rheumatologic_disease,1
42616639,"Other specified rheumatoid arthritis, pelvic region and thigh",M06.85,rheumatologic_disease,1
42616640,"Other specified rheumatoid arthritis, lower leg",M06.86,rheumatologic_disease,1
42616641,"Other specified rheumatoid arthritis, ankle and foot",M06.87,rheumatologic_disease,1
42616642,"Other specified rheumatoid arthritis, other",M06.88,rheumatologic_disease,1
42616643,"Other specified rheumatoid arthritis, site unspecified",M06.89,rheumatologic_disease,1
42616644,"Rheumatoid arthritis, unspecified, multiple sites",M06.90,rheumatologic_disease,1
42616645,"Rheumatoid arthritis, unspecified, shoulder region",M06.91,rheumatologic_disease,1
42616646,"Rheumatoid arthritis, unspecified, upper arm",M06.92,rheumatologic_disease,1
42616647,"Rheumatoid arthritis, unspecified, forearm",M06.93,rheumatologic_disease,1
42616648,"Rheumatoid arthritis, unspecified, hand",M06.94,rheumatologic_disease,1
42616649,"Rheumatoid arthritis, unspecified, lower leg",M06.96,rheumatologic_disease,1
42616650,"Rheumatoid arthritis, unspecified, ankle and foot",M06.97,rheumatologic_disease,1
42616651,"Rheumatoid arthritis, unspecified, other",M06.98,rheumatologic_disease,1
42616652,"Rheumatoid arthritis, unspecified, site unspecified",M06.99,rheumatologic_disease,1
42619374,"Rheumatoid arthritis with involvement of other organs and systems, other",M05.38,rheumatologic_disease,1
42619375,"Seronegative rheumatoid arthritis, forearm",M06.03,rheumatologic_disease,1
42619376,"Rheumatoid nodule, upper arm",M06.32,rheumatologic_disease,1
42619379,"Inflammatory polyarthropathy, other",M06.48,rheumatologic_disease,1
42619380,"Rheumatoid arthritis, unspecified, pelvic region and thigh",M06.95,rheumatologic_disease,1
45533704,Adult-onset Still disease,M06.1,rheumatologic_disease,1
45533705,"Rheumatoid arthritis, unspecified",M06.9,rheumatologic_disease,1
45533825,Systemic lupus erythematosus,M32,rheumatologic_disease,1
45533826,Drug-induced systemic lupus erythematosus,M32.0,rheumatologic_disease,1
45533828,"Systemic sclerosis, unspecified",M34.9,rheumatologic_disease,1
45533830,Polymyalgia rheumatica,M35.3,rheumatologic_disease,1
45538634,Other seropositive rheumatoid arthritis,M05.8,rheumatologic_disease,1
45538637,Rheumatoid nodule,M06.3,rheumatologic_disease,1
45538753,Other dermatomyositis,M33.1,rheumatologic_disease,1
45543441,Other specified rheumatoid arthritis,M06.8,rheumatologic_disease,1
45553050,"Seropositive rheumatoid arthritis, unspecified",M05.9,rheumatologic_disease,1
45553167,"Systemic lupus erythematosus, unspecified",M32.9,rheumatologic_disease,1
45553169,"Dermatopolymyositis, unspecified",M33.9,rheumatologic_disease,1
45553172,Other overlap syndromes,M35.1,rheumatologic_disease,1
45557753,Rheumatoid lung disease,M05.1,rheumatologic_disease,1
45562583,Rheumatoid vasculitis,M05.2,rheumatologic_disease,1
45562708,Systemic lupus erythematosus with organ or system involvement,M32.1,rheumatologic_disease,1
45567421,Inflammatory polyarthropathy,M06.4,rheumatologic_disease,1
45567546,Dermatopolymyositis,M33,rheumatologic_disease,1
45567548,Polymyositis,M33.2,rheumatologic_disease,1
45567549,Dermato(poly)myositis in neoplastic disease,M36.0,rheumatologic_disease,1
45572445,Other forms of systemic lupus erythematosus,M32.8,rheumatologic_disease,1
45577097,Rheumatoid arthritis with involvement of other organs and systems,M05.3,rheumatologic_disease,1
45577103,Seronegative rheumatoid arthritis,M06.0,rheumatologic_disease,1
45577110,Rheumatoid bursitis,M06.2,rheumatologic_disease,1
45577245,Systemic sclerosis induced by drugs and chemicals,M34.2,rheumatologic_disease,1
45582128,Progressive systemic sclerosis,M34.0,rheumatologic_disease,1
45582129,CR(E)ST syndrome,M34.1,rheumatologic_disease,1
45586957,Systemic sclerosis,M34,rheumatologic_disease,1
45591684,Felty syndrome,M05.0,rheumatologic_disease,1
45596441,Other rheumatoid arthritis,M06,rheumatologic_disease,1
45596562,Giant cell arteritis with polymyalgia rheumatica,M31.5,rheumatologic_disease,1
45601435,Juvenile dermatomyositis,M33.0,rheumatologic_disease,1
45601436,Other forms of systemic sclerosis,M34.8,rheumatologic_disease,1
45606038,Seropositive rheumatoid arthritis,M05,rheumatologic_disease,1
1529214,"Chronic viral hepatitis B with delta-agent, immune-tolerant phase",B18.00,mild_liver_disease,2
1529215,"Chronic viral hepatitis B with delta-agent, other and unspecified phase",B18.09,mild_liver_disease,2
1529216,"Chronic viral hepatitis B without delta-agent, immune-tolerant phase",B18.10,mild_liver_disease,2
1529217,"Chronic viral hepatitis B without delta-agent, other and unspecified phase",B18.19,mild_liver_disease,2
45533614,Hepatic fibrosis with hepatic sclerosis,K74.2,mild_liver_disease,2
45533615,"Biliary cirrhosis, unspecified",K74.5,mild_liver_disease,2
45538546,Other and unspecified cirrhosis of liver,K74.6,mild_liver_disease,2
45542555,Chronic viral hepatitis B with delta-agent,B18.0,mild_liver_disease,2
45543334,Toxic liver disease with chronic lobular hepatitis,K71.4,mild_liver_disease,2
45543337,Toxic liver disease with fibrosis and cirrhosis of liver,K71.7,mild_liver_disease,2
45543340,"Chronic active hepatitis, not elsewhere classified",K73.2,mild_liver_disease,2
45547440,Other chronic viral hepatitis,B18.8,mild_liver_disease,2
45547441,"Chronic viral hepatitis, unspecified",B18.9,mild_liver_disease,2
45548169,Other specified diseases of liver,K76.8,mild_liver_disease,2
45552949,"Chronic hepatitis, unspecified",K73.9,mild_liver_disease,2
45557668,Alcoholic hepatitis,K70.1,mild_liver_disease,2
45557669,Alcoholic fibrosis and sclerosis of liver,K70.2,mild_liver_disease,2
45557676,Primary biliary cirrhosis,K74.3,mild_liver_disease,2
45562510,Central haemorrhagic necrosis of liver,K76.2,mild_liver_disease,2
45562511,Peliosis hepatis,K76.4,mild_liver_disease,2
45566478,Liver transplant status,Z94.4,mild_liver_disease,2
45566538,Chronic viral hepatitis,B18,mild_liver_disease,2
45567323,Alcoholic fatty liver,K70.0,mild_liver_disease,2
45567325,"Other chronic hepatitis, not elsewhere classified",K73.8,mild_liver_disease,2
45572225,Toxic liver disease with chronic active hepatitis,K71.5,mild_liver_disease,2
45572227,"Chronic persistent hepatitis, not elsewhere classified",K73.0,mild_liver_disease,2
45572228,"Chronic lobular hepatitis, not elsewhere classified",K73.1,mild_liver_disease,2
45572229,Hepatic sclerosis,K74.1,mild_liver_disease,2
45572232,Infarction of liver,K76.3,mild_liver_disease,2
45572233,"Liver disease, unspecified",K76.9,mild_liver_disease,2
45586732,Hepatic fibrosis,K74.0,mild_liver_disease,2
45586733,Secondary biliary cirrhosis,K74.4,mild_liver_disease,2
45590846,Chronic viral hepatitis C,B18.2,mild_liver_disease,2
45591606,Toxic liver disease with chronic persistent hepatitis,K71.3,mild_liver_disease,2
45596343,Alcoholic cirrhosis of liver,K70.3,mild_liver_disease,2
45596344,"Chronic hepatitis, not elsewhere classified",K73,mild_liver_disease,2
45600448,Chronic viral hepatitis B without delta-agent,B18.1,mild_liver_disease,2
45601189,"Fatty (change of) liver, not elsewhere classified",K76.0,mild_liver_disease,2
45605953,"Alcoholic liver disease, unspecified",K70.9,mild_liver_disease,2
45755467,Fibrosis and cirrhosis of liver,K74,mild_liver_disease,2
45533016,"Type 1 diabetes mellitus, With neurological complications",E10.4,diabetes_with_chronic_complications,1
45542742,"Other specified diabetes mellitus, with neurological complications",E13.4,diabetes_with_chronic_complications,1
45547628,"Malnutrition-related diabetes mellitus, with neurological complications",E12.4,diabetes_with_chronic_complications,1
45547631,"Other specified diabetes mellitus, with renal complications",E13.2,diabetes_with_chronic_complications,1
45547637,"Other specified diabetes mellitus, with multiple complications",E13.7,diabetes_with_chronic_complications,1
45547638,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,diabetes_with_chronic_complications,1
45552380,"Type 1 diabetes mellitus, With ophthalmic complications",E10.3,diabetes_with_chronic_complications,1
45557114,"Type 2 diabetes mellitus, with peripheral circulatory complications",E11.5,diabetes_with_chronic_complications,1
45561950,"Type 2 diabetes mellitus, with multiple complications",E11.7,diabetes_with_chronic_complications,1
45571655,"Type 1 diabetes mellitus, With multiple complications",E10.7,diabetes_with_chronic_complications,1
