concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,PAD (broad),dani_PAD_broad
762584,From descendants,Dissecting aneurysm of posterior cerebral artery,Condition,SNOMED,S,,F
764099,From descendants,Abdominal aortic aneurysm 3.0 to 5.0 centimeters in female,Condition,SNOMED,S,,F
765081,From descendants,Macroaneurysm of retina of left eye,Condition,SNOMED,S,,F
765301,From descendants,Claudication of right upper limb co-occurrent and due to atherosclerosis,Condition,SNOMED,S,x,T
35615086,From descendants,Stenosis of artery of left lower limb,Condition,SNOMED,S,x,T
35615016,From descendants,Aneurysm of right common carotid artery,Condition,SNOMED,S,x,T
35615018,From descendants,Atherosclerosis of artery of right upper limb,Condition,SNOMED,S,x,T
35615023,From descendants,Aneurysm of left subclavian artery,Condition,SNOMED,S,x,T
35615061,From descendants,Thrombosis of left iliac artery,Condition,SNOMED,S,x,T
35615091,From descendants,Embolism of right popliteal artery,Condition,SNOMED,S,x,T
35615094,From descendants,Thrombosis of artery of left lower extremity,Condition,SNOMED,S,x,T
35615095,From descendants,Thrombosis of left popliteal artery,Condition,SNOMED,S,x,T
35615106,From descendants,Occlusion of right popliteal artery,Condition,SNOMED,S,x,T
1244908,From descendants,Aneurysm of intracranial artery,Condition,SNOMED,S,,F
46271462,From descendants,Atherosclerosis of autologous bypass graft of lower limb,Condition,SNOMED,S,x,T
4137551,From descendants,Occlusion of femorofemoral crossover bypass graft,Condition,SNOMED,S,x,T
4143989,From descendants,Ruptured aneurysm of common iliac artery,Condition,SNOMED,S,x,T
4174013,From descendants,Axillary artery embolus,Condition,SNOMED,S,x,T
4195973,From descendants,Common femoral artery occlusion,Condition,SNOMED,S,x,T
4210025,From descendants,Vascular compression of esophagus by aberrant right subclavian artery arising from descending aorta,Condition,SNOMED,S,,F
4210434,From descendants,Ruptured popliteal artery aneurysm,Condition,SNOMED,S,x,T
4213638,From descendants,Aneurysm of axillary artery,Condition,SNOMED,S,x,T
36674753,From descendants,Microaneurysm of left retinal artery due to diabetes mellitus,Condition,SNOMED,S,,F
36685006,From descendants,Microaneurysm of left retinal artery,Condition,SNOMED,S,,F
36685007,From descendants,Microaneurysm of right retinal artery,Condition,SNOMED,S,,F
36712952,From descendants,Aneurysm of right internal carotid artery,Condition,SNOMED,S,,F
36712958,From descendants,Aneurysm of right internal iliac artery,Condition,SNOMED,S,x,T
36715431,From descendants,Klippel Trenaunay syndrome,Condition,SNOMED,S,,F
42535335,From descendants,Stenosis of left subclavian artery,Condition,SNOMED,S,x,T
42536639,From descendants,Perforation of thoracoabdominal aorta co-occurrent and due to aneurysm of thoracoabdominal aorta,Condition,SNOMED,S,,F
4316065,From descendants,Retroesophageal subclavian artery,Condition,SNOMED,S,,F
4348319,From descendants,Acute mesenteric arterial occlusion,Condition,SNOMED,S,x,T
40482910,From descendants,Aortic sinus of Valsalva aneurysm from noncoronary sinus,Condition,SNOMED,S,,F
40482912,From descendants,Aortic sinus of Valsalva aneurysm from right coronary sinus,Condition,SNOMED,S,,F
40483311,From descendants,Isolation of left subclavian artery,Condition,SNOMED,S,,F
40491457,From descendants,Aneurysm of aortic sinus of Valsalva with rupture to left ventricle,Condition,SNOMED,S,,F
40492975,From descendants,Vascular ring with left aortic arch and right arterial duct ligament arising from retroesophageal aortic diverticulum with aberrant right subclavian artery,Condition,SNOMED,S,,F
44808746,From descendants,Occlusion of ulnar artery,Condition,SNOMED,S,x,T
4030663,From descendants,Renal artery occlusion,Condition,SNOMED,S,x,T
4079430,From descendants,Ruptured aneurysm of anterior cerebral artery,Condition,SNOMED,S,,F
4110201,From descendants,Ulnar artery aneurysm,Condition,SNOMED,S,x,T
4110333,From descendants,Embolism and thrombosis of the popliteal artery,Condition,SNOMED,S,x,T
4121625,From descendants,Common iliac artery stenosis,Condition,SNOMED,S,x,T
4126111,From descendants,Congenital renal artery aneurysm,Condition,SNOMED,S,,F
37109920,From descendants,Acute occlusion of aortoiliac artery co-occurrent and due to thromboembolus,Condition,SNOMED,S,,F
37109989,From descendants,Angio-osteohypertrophic syndrome,Condition,SNOMED,S,,F
37110120,From descendants,Keutel syndrome,Condition,SNOMED,S,,F
37160845,From descendants,Aspergillus mycotic cerebral aneurysm,Condition,SNOMED,S,,F
37162999,From descendants,Cholesterol atheromatous embolism of digital artery,Condition,SNOMED,S,x,T
37163042,From descendants,Atherosclerosis of iliac artery,Condition,SNOMED,S,x,T
37163047,From descendants,Acute thrombotic popliteal artery occlusion,Condition,SNOMED,S,x,T
37163074,From descendants,Acute occlusion of brachial artery due to thrombosis,Condition,SNOMED,S,x,T
37163076,From descendants,Acute occlusion of brachial artery due to thromboembolus,Condition,SNOMED,S,x,T
37204661,From descendants,Multiple aneurysms of cerebral artery,Condition,SNOMED,S,,F
37204668,From descendants,Aneurysm of middle cerebral artery,Condition,SNOMED,S,,F
194964,From descendants,Aneurysm of splenic artery,Condition,SNOMED,S,x,T
195559,From descendants,Ruptured abdominal aortic aneurysm,Condition,SNOMED,S,,F
195834,From descendants,Atherosclerosis of renal artery,Condition,SNOMED,S,x,T
198177,From descendants,Abdominal aortic aneurysm,Condition,SNOMED,S,,F
441051,From descendants,Thoracic aortic aneurysm without rupture,Condition,SNOMED,S,,F
761055,From descendants,Aneurysm of bilateral subclavian arteries,Condition,SNOMED,S,x,T
761210,From descendants,Aneurysm of left superficial temporal artery,Condition,SNOMED,S,,F
761814,From descendants,Atheroembolism of artery of left upper limb,Condition,SNOMED,S,x,T
761815,From descendants,Atheroembolism of artery of right upper limb,Condition,SNOMED,S,x,T
761825,From descendants,Claudication of bilateral upper limbs co-occurrent and due to atherosclerosis,Condition,SNOMED,S,x,T
761842,From descendants,Congenital arteriovenous malformation of left upper limb,Condition,SNOMED,S,,F
35607996,From descendants,Retinal arterial macroaneurysm with supravalvular pulmonic stenosis,Condition,SNOMED,S,,F
35615083,From descendants,Embolism of artery of left upper limb,Condition,SNOMED,S,x,T
35615017,From descendants,Aneurysm of left common carotid artery,Condition,SNOMED,S,,F
35615019,From descendants,Atherosclerosis of artery of left upper limb,Condition,SNOMED,S,x,T
35615022,From descendants,Aneurysm of right subclavian artery,Condition,SNOMED,S,x,T
35615025,From descendants,Aneurysm of left brachial artery,Condition,SNOMED,S,x,T
35615062,From descendants,Thrombosis of right iliac artery,Condition,SNOMED,S,x,T
35615088,From descendants,Embolism of artery of left lower limb,Condition,SNOMED,S,x,T
35615098,From descendants,Thrombosis of right femoral artery,Condition,SNOMED,S,x,T
1245707,From descendants,Bilateral congenital anomaly of blood vessels of lower limbs,Condition,SNOMED,S,,F
4141975,From descendants,Occlusion of superior mesenteric artery,Condition,SNOMED,S,x,T
4151848,From descendants,Renal artery stenosis of unknown cause,Condition,SNOMED,S,x,T
4167993,From descendants,Aneurysm of popliteal artery,Condition,SNOMED,S,x,T
4173167,From descendants,Mesenteric embolus,Condition,SNOMED,S,x,T
4174015,From descendants,Popliteal artery embolus,Condition,SNOMED,S,x,T
4199183,From descendants,Iliac artery occlusion,Condition,SNOMED,S,x,T
4244196,From descendants,Congenital malposition of subclavian artery,Condition,SNOMED,S,,F
4246643,From descendants,Congenital stenosis of subclavian artery,Condition,SNOMED,S,,F
36712954,From descendants,Aneurysm of left carotid artery,Condition,SNOMED,S,x,T
36712955,From descendants,Atherosclerosis of bilateral renal arteries,Condition,SNOMED,S,x,T
36712959,From descendants,Aneurysm of left internal iliac artery,Condition,SNOMED,S,x,T
36712962,From descendants,Aneurysm of left femoral artery,Condition,SNOMED,S,x,T
42536192,From descendants,Ruptured aneurysm of right posterior communicating artery,Condition,SNOMED,S,,F
43021972,From descendants,Systemic to pulmonary collateral artery from left renal artery,Condition,SNOMED,S,,F
45766128,From descendants,Familial cerebral saccular aneurysm,Condition,SNOMED,S,,F
45766216,From descendants,Arteriovenous malformation of limb,Condition,SNOMED,S,,F
4276505,From descendants,Aneurysm of superior mesenteric artery,Condition,SNOMED,S,x,T
4301417,From descendants,Port-wine stain in proteus syndrome,Condition,SNOMED,S,,F
4323058,From descendants,Aneurysm of superficial temporal artery,Condition,SNOMED,S,,F
40491481,From descendants,Aneurysm of aortic sinus of Valsalva with rupture to right ventricle,Condition,SNOMED,S,,F
44807043,From descendants,Leaking thoracic aortic aneurysm,Condition,SNOMED,S,,F
4079021,From descendants,Ruptured internal carotid-anterior communicating artery zone aneurysm,Condition,SNOMED,S,,F
4079120,From descendants,Ruptured internal carotid bifurcation aneurysm,Condition,SNOMED,S,,F
4090244,From descendants,Retinal macroaneurysm,Condition,SNOMED,S,,F
4108381,From descendants,Embolism and thrombosis of the axillary artery,Condition,SNOMED,S,x,T
4112768,From descendants,Cobb's syndrome,Condition,SNOMED,S,,F
4115229,From descendants,Digital arterial thrombosis,Condition,SNOMED,S,x,T
37110562,From descendants,Congenital venous malformation of skin,Condition,SNOMED,S,,F
37116422,From descendants,Acute occlusion of artery of upper limb caused by thrombus,Condition,SNOMED,S,x,T
37163050,From descendants,Acute thrombotic crural artery occlusion,Condition,SNOMED,S,x,T
37163051,From descendants,Acute thromboembolic iliac artery occlusion,Condition,SNOMED,S,x,T
37163053,From descendants,Acute thromboembolic crural artery occlusion,Condition,SNOMED,S,x,T
37163063,From descendants,Acute occlusion of superficial femoral artery due to thrombosis,Condition,SNOMED,S,x,T
37163075,From descendants,Acute occlusion of common femoral artery due to thromboembolus,Condition,SNOMED,S,x,T
37169469,From descendants,Bilateral atheroembolism of upper limbs,Condition,SNOMED,S,x,T
37204664,From descendants,Aneurysm of anterior cerebral artery,Condition,SNOMED,S,,F
439836,From descendants,Atheromatous embolus of upper limb,Condition,SNOMED,S,x,T
441875,From descendants,Thoracic aortic aneurysm which has ruptured,Condition,SNOMED,S,,F
605282,From descendants,Thromboembolus of artery of upper limb,Condition,SNOMED,S,x,T
609012,From descendants,Left lower limb atherosclerosis of nonbiological bypass graft,Condition,SNOMED,S,x,T
761212,From descendants,Aneurysm of left radial artery,Condition,SNOMED,S,x,T
761434,From descendants,Atherosclerosis of bypass graft of bilateral lower limbs,Condition,SNOMED,S,x,T
761740,From descendants,Congenital stenosis of right renal artery,Condition,SNOMED,S,,F
761744,From descendants,Atheroembolism of left renal artery,Condition,SNOMED,S,x,T
761748,From descendants,Embolism of left iliac artery,Condition,SNOMED,S,x,T
761749,From descendants,Embolism of right iliac artery,Condition,SNOMED,S,x,T
761811,From descendants,Congenital anomaly of blood vessel of right upper limb,Condition,SNOMED,S,,F
761823,From descendants,Thrombosis of artery of bilateral lower limbs,Condition,SNOMED,S,x,T
762351,From descendants,Ruptured acquired aneurysm of cerebral artery,Condition,SNOMED,S,,F
764102,From descendants,Abdominal aortic aneurysm greater than 5.5 centimeters in male,Condition,SNOMED,S,,F
765226,From descendants,Atherosclerosis of autologous bypass graft of right lower limb,Condition,SNOMED,S,x,T
35615082,From descendants,Embolism of artery of right upper limb,Condition,SNOMED,S,x,T
35615024,From descendants,Aneurysm of right brachial artery,Condition,SNOMED,S,x,T
35615092,From descendants,Bilateral atheroembolism of lower limbs,Condition,SNOMED,S,x,T
46273237,From descendants,Aneurysm of aortic arch,Condition,SNOMED,S,,F
4136335,From descendants,Thrombosis of arteries of upper extremity,Condition,SNOMED,S,x,T
4138183,From descendants,Aneurysm of ascending aorta,Condition,SNOMED,S,,F
4178400,From descendants,External iliac artery thrombosis,Condition,SNOMED,S,x,T
4179910,From descendants,Superficial femoral artery thrombosis,Condition,SNOMED,S,x,T
4193056,From descendants,Femoral artery occlusion,Condition,SNOMED,S,x,T
4195971,From descendants,Common iliac artery occlusion,Condition,SNOMED,S,x,T
4198274,From descendants,Juxtarenal aortic aneurysm,Condition,SNOMED,S,,F
4212101,From descendants,Aneurysm of pancreaticoduodenal artery,Condition,SNOMED,S,x,T
4219552,From descendants,Port-wine stain of skin,Condition,SNOMED,S,,F
4236905,From descendants,Thrombosis of arteries of lower extremity,Condition,SNOMED,S,x,T
4245812,From descendants,Congenital absence of subclavian artery,Condition,SNOMED,S,,F
36712808,From descendants,Aneurysm of left renal artery,Condition,SNOMED,S,x,T
36712950,From descendants,Aneurysm of intracranial portion of right internal carotid artery,Condition,SNOMED,S,,F
36712956,From descendants,Aneurysm of right common iliac artery,Condition,SNOMED,S,x,T
36712961,From descendants,Aneurysm of left popliteal artery,Condition,SNOMED,S,x,T
36717012,From descendants,Aneurysm of right femoral artery,Condition,SNOMED,S,x,T
42535143,From descendants,Atherosclerosis of left iliac artery,Condition,SNOMED,S,x,T
42536637,From descendants,Perforation of thoracic aorta co-occurrent and due to aneurysm of thoracic aorta,Condition,SNOMED,S,,F
43021751,From descendants,Congenital occlusion of femoral vein,Condition,SNOMED,S,,F
45766387,From descendants,Capillary malformation-arteriovenous malformation syndrome,Condition,SNOMED,S,,F
4316367,From descendants,Thrombosis of renal artery,Condition,SNOMED,S,x,T
40483313,From descendants,Isolation of right subclavian artery,Condition,SNOMED,S,,F
40488395,From descendants,Aneurysm of aortic sinus of Valsalva with protrusion into pericardial cavity,Condition,SNOMED,S,,F
40492532,From descendants,Aortico-left ventricular tunnel with extracardiac aneurysm of aortic wall,Condition,SNOMED,S,,F
44782819,From descendants,Chronic occlusion of artery of extremity,Condition,SNOMED,S,x,T
44808747,From descendants,Occlusion of dorsalis pedis artery,Condition,SNOMED,S,x,T
44808832,From descendants,Occlusion of anterior tibial artery,Condition,SNOMED,S,x,T
44808833,From descendants,Occlusion of posterior tibial artery,Condition,SNOMED,S,x,T
4025854,From descendants,Superior mesenteric artery thrombosis,Condition,SNOMED,S,x,T
4079432,From descendants,Ruptured aneurysm of posterior cerebral artery,Condition,SNOMED,S,,F
4108376,From descendants,Embolism and thrombosis of the femoral artery,Condition,SNOMED,S,x,T
4108380,From descendants,Embolism and thrombosis of the subclavian artery,Condition,SNOMED,S,x,T
4109474,From descendants,Isolation of subclavian artery,Condition,SNOMED,S,,F
4110112,From descendants,Congenital vascular nevus,Condition,SNOMED,S,,F
4110205,From descendants,Inferior mesenteric aneurysm,Condition,SNOMED,S,x,T
4110331,From descendants,Embolism and thrombosis of the ulnar artery,Condition,SNOMED,S,x,T
4111470,From descendants,Salmon patch nevus,Condition,SNOMED,S,,F
4119141,From descendants,Atherosclerotic renal artery stenosis,Condition,SNOMED,S,x,T
