concept_id,concept_name,Site
4015350,Fracture at wrist and/or hand level,Forearm
4015069,Closed fracture subluxation lunate,Forearm
4015068,Closed fracture subluxation radiocarpal joint,Forearm
4015067,Closed fracture subluxation of distal radioulnar joint,Forearm
4014076,"Closed fracture scaphoid, waist, oblique",Forearm
4014075,"Closed fracture scaphoid, waist, transverse",Forearm
4014066,Closed fracture radial styloid,Forearm
4014065,Closed dorsal Barton's fracture,Forearm
4014064,Closed volar Barton's fracture,Forearm
4014060,"Closed fracture radius and ulna, middle",Forearm
4014057,"Closed fracture proximal radius, comminuted",Forearm
4013476,"Closed fracture carpal bones, multiple",Forearm
4013469,Closed Galeazzi fracture,Forearm
4013465,"Closed fracture of proximal ulna, comminuted",Forearm
4012145,Closed fracture subluxation perilunate,Forearm
4012143,Closed fracture dislocation perilunate,Forearm
4012142,Closed fracture dislocation lunate,Forearm
4010527,Closed fracture of sesamoid bone of hand,Forearm
4010380,"Closed fracture scaphoid, tuberosity",Forearm
4010379,"Closed fracture scaphoid, waist, comminuted",Forearm
4010378,"Closed fracture hamate, hook",Forearm
4010373,"Closed fracture distal radius, intra-articular, die-punch",Forearm
4010371,"Closed fracture of ulna, lower epiphysis",Forearm
4009449,"Closed fracture scaphoid, proximal pole",Forearm
4009439,Smith's fracture - closed,Forearm
765350,Closed fracture of hamate bone of left wrist,Forearm
765347,Closed fracture of proximal end of left radius,Forearm
765346,Closed fracture of epiphyseal plate of distal end of left radius,Forearm
765343,Closed fracture of capitate bone of left wrist,Forearm
765328,Closed fracture of left ulna,Forearm
765324,Closed fracture of epiphyseal plate of distal right ulna,Forearm
765192,Pathological fracture of right radius due to osteoporosis,Forearm
765018,Closed fracture of left wrist,Forearm
765017,Closed fracture of trapezium bone of left wrist,Forearm
764591,Closed fracture of pisiform bone of right wrist,Forearm
764378,Pathological fracture of left ulna due to osteoporosis,Forearm
763792,Fracture of right radius,Forearm
761905,Fracture of distal end of right radius,Forearm
761086,Fracture of distal end of right ulna,Forearm
761015,Fracture of left ulna,Forearm
760995,Fracture of left radius,Forearm
760665,Pathological fracture of left radius,Forearm
760664,Pathological fracture of right radius,Forearm
760663,Pathological fracture of left ulna,Forearm
760662,Pathological fracture of right ulna,Forearm
760659,Pathological fracture of left radius due to osteoporosis,Forearm
760658,Pathological fracture of right ulna due to osteoporosis,Forearm
760655,Pathological fracture of left hand,Forearm
760654,Pathological fracture of right hand,Forearm
760652,Pathological fracture of left hand due to osteoporosis,Forearm
760651,Pathological fracture of right hand due to osteoporosis,Forearm
760523,Closed fracture of left hand,Forearm
760522,Closed fracture of right hand,Forearm
760519,Closed fracture of right wrist,Forearm
760517,Closed fracture of triquetral bone of left wrist,Forearm
760516,Closed fracture of triquetral bone of right wrist,Forearm
760515,Closed fracture of trapezium bone of right wrist,Forearm
760510,Closed fracture of lunate bone of right wrist,Forearm
760509,Closed fracture of hamate bone of right wrist,Forearm
760508,Closed fracture of left forearm,Forearm
760507,Closed fracture of right forearm,Forearm
760506,Closed fracture of left radius,Forearm
760505,Closed fracture of right radius,Forearm
760504,Closed fracture of proximal end of right radius,Forearm
760503,Closed fracture of proximal epiphyseal plate of left radius,Forearm
760502,Closed fracture of proximal epiphyseal plate of right radius,Forearm
760499,Closed fracture of shaft of left radius,Forearm
760498,Closed fracture of shaft of right radius,Forearm
760497,Closed fracture of distal end of left radius,Forearm
760496,Closed fracture of distal end of right radius,Forearm
760495,Closed fracture of epiphyseal plate of distal end of right radius,Forearm
760447,Closed fracture of capitate bone of right wrist,Forearm
760446,Closed fracture of pisiform bone of left wrist,Forearm
760271,Closed fracture of right ulna,Forearm
760270,Closed fracture of proximal end of left ulna,Forearm
760269,Closed fracture of proximal end of right ulna,Forearm
760266,Closed fracture of shaft of left ulna,Forearm
760265,Closed fracture of shaft of right ulna,Forearm
760264,Closed fracture of distal end of left ulna,Forearm
760263,Closed fracture of distal end of right ulna,Forearm
760212,Closed fracture of epiphyseal plate of distal left ulna,Forearm
443552,Closed torus fracture of radius,Forearm
443428,Torus fracture of radius,Forearm
442598,Fracture of radius AND ulna,Forearm
441974,Closed fracture of forearm,Forearm
441973,Closed fracture of proximal end of radius,Forearm
440544,Closed fracture of upper end of radius AND ulna,Forearm
440538,Closed fracture of lower end of radius AND ulna,Forearm
440511,Pathological fracture - forearm,Forearm
439166,Closed fracture of radius,Forearm
