concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept
2726269,From descendants,"Insertion of Cardiac Lead into Left Ventricle, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726272,From initial search,"Insertion of Pacemaker Lead into Pericardium, Open Approach",Procedure,ICD10PCS,S
2726273,From initial search,"Insertion of Defibrillator Lead into Pericardium, Open Approach",Procedure,ICD10PCS,S
2726274,From descendants,"Insertion of Cardiac Lead into Pericardium, Open Approach",Procedure,ICD10PCS,S
2726277,From initial search,"Insertion of Pacemaker Lead into Pericardium, Percutaneous Approach",Procedure,ICD10PCS,S
2726278,From initial search,"Insertion of Defibrillator Lead into Pericardium, Percutaneous Approach",Procedure,ICD10PCS,S
2726279,From descendants,"Insertion of Cardiac Lead into Pericardium, Percutaneous Approach",Procedure,ICD10PCS,S
2726282,From initial search,"Insertion of Pacemaker Lead into Pericardium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726283,From initial search,"Insertion of Defibrillator Lead into Pericardium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2726284,From descendants,"Insertion of Cardiac Lead into Pericardium, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2727195,From descendants,"Revision of Cardiac Lead in Heart, Open Approach",Procedure,ICD10PCS,S
2727206,From descendants,"Revision of Cardiac Lead in Heart, Percutaneous Approach",Procedure,ICD10PCS,S
2727217,From descendants,"Revision of Cardiac Lead in Heart, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2727228,From descendants,"Revision of Cardiac Lead in Heart, External Approach",Procedure,ICD10PCS,S
2741862,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Right Diaphragm, Open Approach (Deprecated)",Procedure,ICD10PCS,S
2741864,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Right Diaphragm, Percutaneous Approach (Deprecated)",Procedure,ICD10PCS,S
2741866,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Right Diaphragm, Percutaneous Endoscopic Approach (Deprecated)",Procedure,ICD10PCS,S
2741868,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Left Diaphragm, Open Approach (Deprecated)",Procedure,ICD10PCS,S
2741870,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Left Diaphragm, Percutaneous Approach (Deprecated)",Procedure,ICD10PCS,S
2741872,From initial search,"Insertion of Diaphragmatic Pacemaker Lead into Left Diaphragm, Percutaneous Endoscopic Approach (Deprecated)",Procedure,ICD10PCS,S
2741926,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Open Approach",Procedure,ICD10PCS,S
2741932,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Percutaneous Approach",Procedure,ICD10PCS,S
2741938,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
2741944,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Via Natural or Artificial Opening",Procedure,ICD10PCS,S
2741950,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Via Natural or Artificial Opening Endoscopic",Procedure,ICD10PCS,S
2741956,From initial search,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, External Approach",Procedure,ICD10PCS,S
2743685,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Open Approach",Procedure,ICD10PCS,S
2743691,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Percutaneous Approach",Procedure,ICD10PCS,S
2743697,From initial search,"Removal of Diaphragmatic Pacemaker Lead from Diaphragm, Percutaneous Endoscopic Approach",Procedure,ICD10PCS,S
