concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
19030035,furosemide 10 MG/ML Oral Solution [Lasix],Drug,RxNorm,S,956874
19030036,furosemide 40 MG Oral Tablet [Lo-Aqua],Drug,RxNorm,S,956874
19030040,furosemide 80 MG Oral Tablet [Lasix],Drug,RxNorm,S,956874
19044761,furosemide 40 MG [Lasix],Drug,RxNorm,S,956874
19044762,furosemide 80 MG [Lasix],Drug,RxNorm,S,956874
19054486,furosemide 4 MG/ML Oral Solution [Frusol],Drug,RxNorm,S,956874
19061581,amiloride 10 MG / furosemide 40 MG Oral Tablet,Drug,RxNorm,S,956874
19062857,furosemide 40 MG / potassium chloride 600 MG Oral Tablet,Drug,RxNorm,S,956874
19063479,furosemide 40 MG / triamterene 50 MG Oral Tablet,Drug,RxNorm,S,956874
19064210,amiloride 20 MG / furosemide 40 MG Oral Tablet,Drug,RxNorm,S,956874
19064439,furosemide 1 MG/ML Oral Solution,Drug,RxNorm,S,956874
19071505,furosemide 20 MG [Delone],Drug,RxNorm,S,956874
19071629,furosemide 40 MG [Lo-Aqua],Drug,RxNorm,S,956874
19077546,furosemide 20 MG Oral Tablet,Drug,RxNorm,S,956874
19081294,furosemide 20 MG,Drug,RxNorm,S,956874
19099950,furosemide 4 MG/ML,Drug,RxNorm,S,956874
19100332,furosemide 50 MG/ML,Drug,RxNorm,S,956874
19103805,furosemide 120 MG Extended Release Oral Capsule,Drug,RxNorm,S,956874
19103817,furosemide 30 MG Extended Release Oral Capsule,Drug,RxNorm,S,956874
19103826,24 HR furosemide 60 MG Extended Release Oral Capsule,Drug,RxNorm,S,956874
19103827,24 HR furosemide 120 MG Extended Release Oral Capsule,Drug,RxNorm,S,956874
19103931,furosemide 50 MG / triamterene 30 MG Extended Release Oral Capsule,Drug,RxNorm,S,956874
19103932,furosemide 25 MG / triamterene 15 MG Extended Release Oral Capsule,Drug,RxNorm,S,956874
19104066,12 HR furosemide 30 MG Extended Release Oral Capsule,Drug,RxNorm,S,956874
19104555,furosemide 2.5 MG/ML Injectable Solution,Drug,RxNorm,S,956874
19104556,furosemide 5 MG/ML Injectable Solution,Drug,RxNorm,S,956874
19104557,furosemide 1.6 MG/ML Injectable Solution,Drug,RxNorm,S,956874
19104558,furosemide 0.4 MG/ML Injectable Solution,Drug,RxNorm,S,956874
19104581,furosemide 0.8 MG/ML Injectable Solution,Drug,RxNorm,S,956874
19106431,furosemide 250 MG Oral Tablet,Drug,RxNorm,S,956874
19106432,furosemide 125 MG Oral Tablet,Drug,RxNorm,S,956874
19107015,amiloride 16 MG / furosemide 1.8 MG / indapamide 5 MG Oral Tablet,Drug,RxNorm,S,956874
19107016,amiloride 1.8 MG / furosemide 5 MG / indapamide 16 MG Oral Tablet,Drug,RxNorm,S,956874
19107172,furosemide 50 MG / triamterene 20 MG Oral Tablet,Drug,RxNorm,S,956874
19107299,furosemide 40 MG / potassium chloride 600 MG Extended Release Oral Tablet,Drug,RxNorm,S,956874
19107523,furosemide 20 MG / spironolactone 50 MG Oral Tablet,Drug,RxNorm,S,956874
19107524,furosemide 20 MG / spironolactone 100 MG Oral Tablet,Drug,RxNorm,S,956874
19108803,furosemide 5 MG,Drug,RxNorm,S,956874
19108806,furosemide 1.8 MG,Drug,RxNorm,S,956874
19110020,furosemide 120 MG,Drug,RxNorm,S,956874
19110021,furosemide 125 MG,Drug,RxNorm,S,956874
19110022,furosemide 250 MG,Drug,RxNorm,S,956874
19110023,furosemide 30 MG,Drug,RxNorm,S,956874
19110024,furosemide 0.4 MG/ML,Drug,RxNorm,S,956874
19110025,furosemide 0.8 MG/ML,Drug,RxNorm,S,956874
19110026,furosemide 1.6 MG/ML,Drug,RxNorm,S,956874
19110027,furosemide 2.5 MG/ML,Drug,RxNorm,S,956874
19110028,furosemide 5 MG/ML,Drug,RxNorm,S,956874
19111281,furosemide 10 MG,Drug,RxNorm,S,956874
19114044,furosemide 40 MG [Furocot],Drug,RxNorm,S,956874
19114045,furosemide 40 MG Oral Tablet [Furocot],Drug,RxNorm,S,956874
19114630,furosemide 50 MG/ML [Salix - substance],Drug,RxNorm,S,956874
19114631,furosemide 50 MG/ML Injectable Solution [Salix - substance],Drug,RxNorm,S,956874
19115274,furosemide 10 MG/ML [Lasix],Drug,RxNorm,S,956874
19115795,furosemide 20 MG [Rusyde],Drug,RxNorm,S,956874
19115796,furosemide 40 MG [Rusyde],Drug,RxNorm,S,956874
19115797,furosemide 500 MG [Lasix],Drug,RxNorm,S,956874
19115798,furosemide 1 MG/ML [Lasix],Drug,RxNorm,S,956874
19116664,furosemide 50 MG/ML [Lasix],Drug,RxNorm,S,956874
19117232,furosemide 20 MG [Aluzine],Drug,RxNorm,S,956874
19117233,furosemide 20 MG [Lasix],Drug,RxNorm,S,956874
19117234,furosemide 40 MG [Aluzine],Drug,RxNorm,S,956874
19117235,furosemide 40 MG [Diuresal],Drug,RxNorm,S,956874
19117236,furosemide 40 MG [Frusetic],Drug,RxNorm,S,956874
19117237,furosemide 40 MG [Frumax],Drug,RxNorm,S,956874
19117238,furosemide 40 MG [Dryptal],Drug,RxNorm,S,956874
19117239,furosemide 40 MG [Froop],Drug,RxNorm,S,956874
19117240,furosemide 40 MG [Frusid],Drug,RxNorm,S,956874
19117241,furosemide 500 MG [Aluzine],Drug,RxNorm,S,956874
19117242,furosemide 500 MG [Dryptal],Drug,RxNorm,S,956874
19120536,furosemide 4 MG/ML [Frusol],Drug,RxNorm,S,956874
19123945,furosemide 12.5 MG,Drug,RxNorm,S,956874
19123946,furosemide 12.5 MG Oral Tablet,Drug,RxNorm,S,956874
19123947,furosemide 12.5 MG [Salix - substance],Drug,RxNorm,S,956874
19123948,furosemide 12.5 MG Oral Tablet [Salix - substance],Drug,RxNorm,S,956874
19124504,furosemide 50 MG [Salix - substance],Drug,RxNorm,S,956874
19124505,furosemide 50 MG Oral Tablet [Salix - substance],Drug,RxNorm,S,956874
21024010,Furosemide / Triamterene Oral Tablet [Frusene],Drug,RxNorm Extension,S,956874
21024116,Furosemide 20 MG / Spironolactone 50 MG Oral Capsule [Lasilactone] Box of 28,Drug,RxNorm Extension,S,956874
21024117,Furosemide 20 MG / Spironolactone 50 MG Oral Capsule [Lasilactone] Box of 30,Drug,RxNorm Extension,S,956874
21025269,Furosemide 20 MG Oral Tablet by DE,Drug,RxNorm Extension,S,956874
21025270,Furosemide 20 MG Oral Tablet Box of 28 by Crescent,Drug,RxNorm Extension,S,956874
21025271,Furosemide 20 MG Oral Tablet Box of 28 by Wockhardt,Drug,RxNorm Extension,S,956874
21025272,Furosemide 20 MG Oral Tablet [Lasix] Box of 28 by Borg Medicare,Drug,RxNorm Extension,S,956874
21025273,Furosemide 50 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21025276,Furosemide 500 MG Oral Tablet Box of 28 by Ennogen,Drug,RxNorm Extension,S,956874
21025277,Furosemide 4 MG/ML Oral Solution by Sigma-Tau,Drug,RxNorm Extension,S,956874
21025278,Furosemide 40 MG Oral Tablet Box of 28 by Alliance,Drug,RxNorm Extension,S,956874
21025279,Furosemide 40 MG Oral Tablet Box of 1000 by A A H,Drug,RxNorm Extension,S,956874
21025280,Furosemide 0.68 MG/ML,Drug,RxNorm Extension,S,956874
21025281,Furosemide 8 MG/ML Oral Solution by Kent,Drug,RxNorm Extension,S,956874
21025282,Furosemide 8 MG/ML Oral Solution by Alliance,Drug,RxNorm Extension,S,956874
21025286,Amiloride 2.5 MG / Furosemide 20 MG [Frumil],Drug,RxNorm Extension,S,956874
21025287,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet Box of 28,Drug,RxNorm Extension,S,956874
21025288,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Co-amilofruse],Drug,RxNorm Extension,S,956874
21025289,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Co-amilofruse] Box of 28 by A A H,Drug,RxNorm Extension,S,956874
21025290,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Co-amilofruse] Box of 56 by Phoenix Labs,Drug,RxNorm Extension,S,956874
21025291,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Co-amilofruse] Box of 56 by Waymade,Drug,RxNorm Extension,S,956874
21025292,Amiloride 2.5 MG / Furosemide 20 MG Oral Tablet [Frumil] Box of 28 by Waymade,Drug,RxNorm Extension,S,956874
21025293,Amiloride 10 MG / Furosemide 80 MG [Co-amilofruse],Drug,RxNorm Extension,S,956874
21025294,Amiloride 0.25 MG/ML / Furosemide 2 MG/ML Oral Suspension [Co-amilofruse],Drug,RxNorm Extension,S,956874
21025296,Amiloride 5 MG / Furosemide 40 MG Oral Tablet Box of 56,Drug,RxNorm Extension,S,956874
21025297,Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Co-amilofruse] Box of 56 by Sandoz,Drug,RxNorm Extension,S,956874
21025298,Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Co-amilofruse] Box of 56 by Alliance,Drug,RxNorm Extension,S,956874
21028427,1 ML Furosemide 2.5 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21028433,1 ML Furosemide 0.9 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21028434,1 ML Furosemide 1 MG/ML Oral Solution,Drug,RxNorm Extension,S,956874
21028438,1 ML Amiloride 0.25 MG/ML / Furosemide 2 MG/ML Oral Suspension [Co-amilofruse],Drug,RxNorm Extension,S,956874
21029359,25 ML Furosemide 10 MG/ML Prefilled Syringe by Hameln,Drug,RxNorm Extension,S,956874
21029360,25 ML Furosemide 10 MG/ML Prefilled Syringe Box of 10 by Wockhardt,Drug,RxNorm Extension,S,956874
21030067,150 ML Furosemide 1 MG/ML Oral Solution [Lasix] by Borg Medicare,Drug,RxNorm Extension,S,956874
21033864,Furosemide 20 MG / Spironolactone 50 MG Oral Capsule [Lasilactone],Drug,RxNorm Extension,S,956874
21035009,Furosemide 500 MG Oral Tablet by Alliance,Drug,RxNorm Extension,S,956874
21035011,Furosemide 40 MG Oral Tablet by Mylan,Drug,RxNorm Extension,S,956874
21035012,Furosemide 40 MG Oral Tablet by Accord,Drug,RxNorm Extension,S,956874
21035013,Furosemide 40 MG Oral Tablet by Ranbaxy,Drug,RxNorm Extension,S,956874
21035014,Furosemide 40 MG Oral Tablet by TEVA,Drug,RxNorm Extension,S,956874
21035015,Furosemide 40 MG Oral Tablet Box of 28 by Waymade,Drug,RxNorm Extension,S,956874
21035016,Furosemide 40 MG Oral Tablet [Lasix] Box of 250,Drug,RxNorm Extension,S,956874
21035017,Furosemide 10 MG/ML Oral Solution by A A H,Drug,RxNorm Extension,S,956874
21035018,Furosemide 10 MG/ML Oral Solution [Frusol],Drug,RxNorm Extension,S,956874
21035020,Furosemide 8 MG/ML Oral Solution by TEVA,Drug,RxNorm Extension,S,956874
21035021,Furosemide 8 MG/ML Oral Solution [Frusol] by Rosemont,Drug,RxNorm Extension,S,956874
21035022,Furosemide 6 MG/ML,Drug,RxNorm Extension,S,956874
21035024,Furosemide 20 MG / Potassium Chloride 750 MG Extended Release Oral Tablet [Lasikal] Box of 100 by Borg Medicare,Drug,RxNorm Extension,S,956874
21035025,Amiloride / Furosemide Oral Solution,Drug,RxNorm Extension,S,956874
