concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
21024110,Spironolactone 7 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21024111,Spironolactone 25 MG Oral Tablet by TEVA,Drug,RxNorm Extension,S,970250
21024112,Spironolactone 25 MG Oral Tablet Box of 28 by Phoenix Labs,Drug,RxNorm Extension,S,970250
21024113,Spironolactone 25 MG Oral Tablet Box of 30,Drug,RxNorm Extension,S,970250
21024114,Spironolactone 25 MG Oral Tablet [Aldactone] Box of 100,Drug,RxNorm Extension,S,970250
21024115,Spironolactone 25 MG Oral Tablet [Aldactone] Box of 100 by Waymade,Drug,RxNorm Extension,S,970250
21024116,Furosemide 20 MG / Spironolactone 50 MG Oral Capsule [Lasilactone] Box of 28,Drug,RxNorm Extension,S,970250
21024117,Furosemide 20 MG / Spironolactone 50 MG Oral Capsule [Lasilactone] Box of 30,Drug,RxNorm Extension,S,970250
21024118,Hydroflumethiazide / Spironolactone Oral Tablet [Co-flumactone],Drug,RxNorm Extension,S,970250
21024119,Hydroflumethiazide 50 MG / Spironolactone 50 MG Oral Tablet Box of 100,Drug,RxNorm Extension,S,970250
21024120,Hydroflumethiazide 50 MG / Spironolactone 50 MG Oral Tablet [Aldactide] Box of 28 by Pfizer,Drug,RxNorm Extension,S,970250
21024121,Hydroflumethiazide 25 MG / Spironolactone 25 MG [Aldactide],Drug,RxNorm Extension,S,970250
21026247,eplerenone 50 MG Oral Tablet by DE,Drug,RxNorm Extension,S,1309799
21026248,eplerenone 50 MG Oral Tablet Box of 28,Drug,RxNorm Extension,S,1309799
21026249,eplerenone 50 MG Oral Tablet Box of 28 by Alliance,Drug,RxNorm Extension,S,1309799
21026250,eplerenone 25 MG Oral Tablet [Inspra] Box of 28,Drug,RxNorm Extension,S,1309799
21026251,eplerenone 25 MG Oral Tablet [Inspra] Box of 30,Drug,RxNorm Extension,S,1309799
21028142,1 ML Chlorothiazide 20 MG/ML / Spironolactone 2 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21028265,1 ML Spironolactone 8 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21028267,1 ML Spironolactone 5 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21028268,1 ML Spironolactone 1.5 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21028269,1 ML Spironolactone 0.9 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21028270,1 ML Spironolactone 0.6 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21030025,125 ML Spironolactone 2 MG/ML Oral Suspension by Rosemont,Drug,RxNorm Extension,S,970250
21030026,125 ML Spironolactone 20 MG/ML Oral Suspension by Rosemont,Drug,RxNorm Extension,S,970250
21032530,Chlorothiazide 40 MG/ML / Spironolactone 4 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21032531,Chlorothiazide 40 MG/ML / Spironolactone 4 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21033850,Spironolactone 50 MG Oral Tablet by Mawdsley-Brooks,Drug,RxNorm Extension,S,970250
21033851,Spironolactone 50 MG Oral Tablet by A A H,Drug,RxNorm Extension,S,970250
21033852,Spironolactone 50 MG Oral Tablet [Aldactone] by Pfizer,Drug,RxNorm Extension,S,970250
21033853,Spironolactone 50 MG Oral Tablet [Aldactone] Box of 100 by Pfizer,Drug,RxNorm Extension,S,970250
21033854,Spironolactone 1.5 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21033856,Spironolactone 0.7 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21033857,Spironolactone 100 MG Oral Tablet [Aldactone] Box of 100 by Pfizer,Drug,RxNorm Extension,S,970250
21033858,Spironolactone 100 MG Oral Tablet [Spirospare] by Ashbourne,Drug,RxNorm Extension,S,970250
21033859,Spironolactone 100 MG Oral Tablet [Spirospare] Box of 28,Drug,RxNorm Extension,S,970250
21033860,Spironolactone 2.4 MG/ML,Drug,RxNorm Extension,S,970250
21033862,Spironolactone 2 MG/ML Oral Suspension by Rosemont,Drug,RxNorm Extension,S,970250
21033863,Spironolactone 25 MG Oral Tablet Box of 30 by TEVA,Drug,RxNorm Extension,S,970250
21033864,Furosemide 20 MG / Spironolactone 50 MG Oral Capsule [Lasilactone],Drug,RxNorm Extension,S,970250
21033865,Hydroflumethiazide 50 MG / Spironolactone 50 MG [Aldactide],Drug,RxNorm Extension,S,970250
21033866,Hydroflumethiazide 50 MG / Spironolactone 50 MG Oral Tablet [Co-flumactone],Drug,RxNorm Extension,S,970250
21033867,Hydroflumethiazide 25 MG / Spironolactone 25 MG Oral Tablet [Co-flumactone] Box of 100,Drug,RxNorm Extension,S,970250
21036028,eplerenone 25 MG Oral Tablet by Pfizer,Drug,RxNorm Extension,S,1309799
21038091,1 ML Spironolactone 2.5 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21038093,1 ML Spironolactone 0.25 MG/ML Oral Solution,Drug,RxNorm Extension,S,970250
21039852,125 ML Spironolactone 20 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21042445,Chlorothiazide 10 MG / Spironolactone 1 MG Oral Capsule Box of 1,Drug,RxNorm Extension,S,970250
21042447,Chlorothiazide 150 MG / Spironolactone 16 MG Oral Capsule,Drug,RxNorm Extension,S,970250
21043754,Spironolactone 50 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21043755,Spironolactone 1 MG,Drug,RxNorm Extension,S,970250
21043756,Spironolactone 100 MG Oral Tablet Box of 28 by Genesis,Drug,RxNorm Extension,S,970250
21043757,Spironolactone 100 MG Oral Tablet Box of 100 by Dr Reddy's,Drug,RxNorm Extension,S,970250
21043759,Spironolactone 2.4 MG/ML Oral Suspension,Drug,RxNorm Extension,S,970250
21043762,Spironolactone 7 MG/ML,Drug,RxNorm Extension,S,970250
21043764,Spironolactone 25 MG Oral Tablet by Bristol Myers Squibb,Drug,RxNorm Extension,S,970250
21043765,Spironolactone 25 MG Oral Tablet Box of 100 by Dr Reddy's,Drug,RxNorm Extension,S,970250
21043766,Furosemide 20 MG / Spironolactone 50 MG Oral Capsule [Lasilactone] by Lexon,Drug,RxNorm Extension,S,970250
21043767,Hydroflumethiazide 50 MG / Spironolactone 50 MG Oral Tablet [Aldactide] Box of 100,Drug,RxNorm Extension,S,970250
21045879,eplerenone 50 MG Oral Tablet by TEVA,Drug,RxNorm Extension,S,1309799
21045880,eplerenone 50 MG Oral Tablet by Actavis,Drug,RxNorm Extension,S,1309799
21045881,eplerenone 50 MG Oral Tablet by Zentiva,Drug,RxNorm Extension,S,1309799
21045882,eplerenone 50 MG Oral Tablet Box of 28 by Actavis,Drug,RxNorm Extension,S,1309799
