"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","37","upper_hr","numeric","0.0233801908478592","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","37","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","37","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","37","se_coef","numeric","0.676454295314472","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","38","hazard_ratio","numeric","0.00746377797065021","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","38","lower_hr","numeric","0.00209937685657606","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","38","upper_hr","numeric","0.0265354842893806","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","38","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","38","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","38","se_coef","numeric","0.64716554012177","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","39","hazard_ratio","numeric","0.00910044179003935","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","39","lower_hr","numeric","0.0027288730380927","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","39","upper_hr","numeric","0.0303488068582988","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","39","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","39","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","39","se_coef","numeric","0.614518558907935","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","40","hazard_ratio","numeric","0.0112229278338265","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","40","lower_hr","numeric","0.00360653206353919","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","40","upper_hr","numeric","0.0349238844807813","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","40","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","40","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","40","se_coef","numeric","0.579200515599223","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","41","hazard_ratio","numeric","0.013958397434422","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","41","lower_hr","numeric","0.00482557632017267","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","41","upper_hr","numeric","0.0403758734729342","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","41","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","41","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","41","se_coef","numeric","0.541923795492217","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","42","hazard_ratio","numeric","0.0174580772056785","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","42","lower_hr","numeric","0.0065085638848683","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","42","upper_hr","numeric","0.0468282197287823","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","42","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","42","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","42","se_coef","numeric","0.503419244420437","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","43","hazard_ratio","numeric","0.0218944724740476","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","43","lower_hr","numeric","0.00881070517803282","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","43","upper_hr","numeric","0.054407441314914","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","43","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","43","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","43","se_coef","numeric","0.464430333437258","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","44","hazard_ratio","numeric","0.0274533630348103","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","44","lower_hr","numeric","0.0119188059977036","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","44","upper_hr","numeric","0.0632351212081398","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","44","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","44","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","44","se_coef","numeric","0.425707407544109","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","45","hazard_ratio","numeric","0.0343182692408506","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","45","lower_hr","numeric","0.0160419881943882","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","45","upper_hr","numeric","0.073416311582844","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","45","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","45","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","45","se_coef","numeric","0.388001158325327","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","46","hazard_ratio","numeric","0.0426451575550165","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","46","lower_hr","numeric","0.021389490883068","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","46","upper_hr","numeric","0.0850235039643603","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","46","aic","numeric","3133.01785981347","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","46","bic","numeric","3159.11786961168","model_name","age_rcs4"
"1","cprd_100k","transition","healthy_to_as","ref_age","70","rel_age","46","se_coef","numeric","0.35205443191859","model_name","age_rcs4"
