source_concept_id,concept_code,cohort_name,concept_id,cohort_name_1,icd_description,points
42617210,M25,"Other joint disorders, not elsewhere classified",76784,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617212,M25,"Other joint disorders, not elsewhere classified",4239337,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617213,M25,"Other joint disorders, not elsewhere classified",77630,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617213,M25,"Other joint disorders, not elsewhere classified",4239337,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617214,M25,"Other joint disorders, not elsewhere classified",4139063,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617215,M25,"Other joint disorders, not elsewhere classified",4181302,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617216,M25,"Other joint disorders, not elsewhere classified",4177361,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617217,M25,"Other joint disorders, not elsewhere classified",4177362,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617218,M25,"Other joint disorders, not elsewhere classified",4322711,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617220,M25,"Other joint disorders, not elsewhere classified",4239337,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617221,M25,"Other joint disorders, not elsewhere classified",4239337,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617222,M25,"Other joint disorders, not elsewhere classified",4343913,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617223,M25,"Other joint disorders, not elsewhere classified",4343913,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617223,M25,"Other joint disorders, not elsewhere classified",77630,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617224,M25,"Other joint disorders, not elsewhere classified",1076877,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617227,M25,"Other joint disorders, not elsewhere classified",4166838,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617228,M25,"Other joint disorders, not elsewhere classified",40482662,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617228,M25,"Other joint disorders, not elsewhere classified",4343913,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617231,M25,"Other joint disorders, not elsewhere classified",4285734,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617232,M25,"Other joint disorders, not elsewhere classified",4198492,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617233,M25,"Other joint disorders, not elsewhere classified",4185800,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617234,M25,"Other joint disorders, not elsewhere classified",4182522,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617235,M25,"Other joint disorders, not elsewhere classified",40482478,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617236,M25,"Other joint disorders, not elsewhere classified",4172835,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617241,M25,"Other joint disorders, not elsewhere classified",73851,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617242,M25,"Other joint disorders, not elsewhere classified",4117881,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617243,M25,"Other joint disorders, not elsewhere classified",1244938,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617244,M25,"Other joint disorders, not elsewhere classified",78834,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617245,M25,"Other joint disorders, not elsewhere classified",4117712,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617247,M25,"Other joint disorders, not elsewhere classified",77072,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617248,M25,"Other joint disorders, not elsewhere classified",79903,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617252,M25,"Other joint disorders, not elsewhere classified",76191,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617252,M25,"Other joint disorders, not elsewhere classified",77074,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617254,M25,"Other joint disorders, not elsewhere classified",78234,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617255,M25,"Other joint disorders, not elsewhere classified",4170554,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617257,M25,"Other joint disorders, not elsewhere classified",78508,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617259,M25,"Other joint disorders, not elsewhere classified",73841,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617264,M25,"Other joint disorders, not elsewhere classified",4097159,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617265,M25,"Other joint disorders, not elsewhere classified",4093672,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617267,M25,"Other joint disorders, not elsewhere classified",72404,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617271,M25,"Other joint disorders, not elsewhere classified",45757591,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617271,M25,"Other joint disorders, not elsewhere classified",136779,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617272,M25,"Other joint disorders, not elsewhere classified",77635,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617272,M25,"Other joint disorders, not elsewhere classified",45757591,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617273,M25,"Other joint disorders, not elsewhere classified",45757591,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617273,M25,"Other joint disorders, not elsewhere classified",43531053,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617274,M25,"Other joint disorders, not elsewhere classified",45757591,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617274,M25,"Other joint disorders, not elsewhere classified",72986,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617278,M25,"Other joint disorders, not elsewhere classified",73553,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617281,M25,"Other joint disorders, not elsewhere classified",136779,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617281,M25,"Other joint disorders, not elsewhere classified",73553,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617283,M25,"Other joint disorders, not elsewhere classified",73553,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617283,M25,"Other joint disorders, not elsewhere classified",43531053,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617284,M25,"Other joint disorders, not elsewhere classified",73553,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617284,M25,"Other joint disorders, not elsewhere classified",72986,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617285,M25,"Other joint disorders, not elsewhere classified",73553,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617290,M25,"Other joint disorders, not elsewhere classified",443582,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617291,M25,"Other joint disorders, not elsewhere classified",43531053,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617292,M25,"Other joint disorders, not elsewhere classified",72986,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617292,M25,"Other joint disorders, not elsewhere classified",73553,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42617295,M25,"Other joint disorders, not elsewhere classified",73553,cohort_62,"Other joint disorders, not elsewhere classified",2.3
42619347,M25,"Other joint disorders, not elsewhere classified",72407,cohort_62,"Other joint disorders, not elsewhere classified",2.3
45533050,E87,"Other disorders of fluid, electrolyte and acid-base balance",438730,cohort_54,"Other disorders of fluid, electrolyte and acid-
base balance",2.3
45537990,E87,"Other disorders of fluid, electrolyte and acid-base balance",434610,cohort_54,"Other disorders of fluid, electrolyte and acid-
base balance",2.3
45537991,E87,"Other disorders of fluid, electrolyte and acid-base balance",437833,cohort_54,"Other disorders of fluid, electrolyte and acid-
base balance",2.3
45538401,I67,Other cerebrovascular diseases,4029497,cohort_51,Other cerebrovascular diseases,2.6
45538402,I67,Other cerebrovascular diseases,4027461,cohort_51,Other cerebrovascular diseases,2.6
45538741,M25,"Other joint disorders, not elsewhere classified",72404,cohort_62,"Other joint disorders, not elsewhere classified",2.3
45542779,E87,"Other disorders of fluid, electrolyte and acid-base balance",435515,cohort_54,"Other disorders of fluid, electrolyte and acid-
base balance",2.3
